Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Mon Mar 07 18:59:31 UTC 2022,-103,-16,-69,-114,-18,-96,882202682,8.55284332689089
Mon Mar 07 18:59:34 UTC 2022,-103,-16,-69,-116,-17,-98,885784400,9.64713299976344
Mon Mar 07 18:59:37 UTC 2022,-103,-16,-69,-114,-16,-97,889412556,9.93592598759005
Mon Mar 07 18:59:40 UTC 2022,-103,-15,-71,-113,-16,-97,892895406,9.27814557275296
Mon Mar 07 18:59:43 UTC 2022,-102,-16,-69,-112,-15,-97,896191006,8.86466703888759
Mon Mar 07 18:59:46 UTC 2022,-102,-15,-70,-113,-17,-96,900237104,11.0750455675958
Mon Mar 07 18:59:49 UTC 2022,-102,-16,-70,-114,-17,-96,904509400,11.6042715740379
Mon Mar 07 18:59:52 UTC 2022,-103,-16,-71,-113,-15,-98,908192982,9.35594032216829
Mon Mar 07 18:59:55 UTC 2022,-103,-15,-67,-112,-14,-97,912355924,11.2193753695922
Mon Mar 07 18:59:58 UTC 2022,-103,-15,-70,-115,-17,-98,916069466,10.1510897447123
Mon Mar 07 19:00:01 UTC 2022,-102,-16,-70,-114,-17,-97,919769526,10.1488119757455
Mon Mar 07 19:00:04 UTC 2022,-102,-16,-70,-102,-12,-90,923679306,10.5207398235113
Mon Mar 07 19:00:07 UTC 2022,-102,-16,-70,-113,-17,-96,927767348,10.4632106766424
Mon Mar 07 19:00:10 UTC 2022,-103,-16,-70,-113,-16,-96,931485384,10.1295533800586
Mon Mar 07 19:00:13 UTC 2022,-102,-15,-69,-115,-18,-97,934954752,9.40986361822671
Mon Mar 07 19:00:16 UTC 2022,-102,-15,-69,-112,-14,-97,938942428,10.8286149762938
Mon Mar 07 19:00:19 UTC 2022,-103,-16,-70,-111,-14,-97,942624512,10.0616425433942
Mon Mar 07 19:00:22 UTC 2022,-102,-16,-69,-114,-16,-97,946540284,10.6502728245696
Mon Mar 07 19:00:25 UTC 2022,-102,-15,-70,-112,-15,-96,950971368,12.0051105323172
Mon Mar 07 19:00:28 UTC 2022,-102,-15,-69,-104,-13,-90,955051920,11.0835608180536
Mon Mar 07 19:00:31 UTC 2022,-102,-15,-69,-114,-17,-97,959006640,10.3181691772925
Mon Mar 07 19:00:34 UTC 2022,-103,-15,-68,-106,-14,-91,962899942,10.4363712734673
Mon Mar 07 19:00:37 UTC 2022,-102,-15,-69,-115,-17,-98,966640448,10.2004975827738
Mon Mar 07 19:00:40 UTC 2022,-102,-15,-69,-113,-16,-97,970464842,10.395054703159
Mon Mar 07 19:00:43 UTC 2022,-102,-15,-71,-116,-18,-98,974518430,10.9431545418826
Mon Mar 07 19:00:46 UTC 2022,-103,-15,-70,-111,-14,-97,978670886,10.7794721150898
Mon Mar 07 19:00:49 UTC 2022,-102,-15,-71,-114,-16,-98,982685526,10.9092053616479
Mon Mar 07 19:00:52 UTC 2022,-102,-16,-69,-107,-13,-93,986643242,10.7274144924248
Mon Mar 07 19:00:55 UTC 2022,-103,-16,-69,-106,-14,-92,991489272,13.0413790535972
