Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:47:56 UTC 2022,-92,-8,-61,0,0,0,2643284084,40.762363916165
Tue Jan 11 13:47:58 UTC 2022,-92,-8,-63,0,0,0,2660126098,44.291457599798335
Tue Jan 11 13:48:01 UTC 2022,-92,-8,-65,0,0,0,2677484922,47.20828274088958
Tue Jan 11 13:48:04 UTC 2022,-92,-8,-62,0,0,0,2694903666,47.42203299181349
Tue Jan 11 13:48:07 UTC 2022,-92,-7,-66,0,0,0,2713571742,50.39118171891524
Tue Jan 11 13:48:10 UTC 2022,-93,-8,-65,0,0,0,2731667582,48.117902880629
Tue Jan 11 13:48:13 UTC 2022,-92,-7,-66,0,0,0,2748010762,42.52015365325908
Tue Jan 11 13:48:16 UTC 2022,-93,-8,-66,0,0,0,2763726280,42.477716213205966
Tue Jan 11 13:48:19 UTC 2022,-92,-7,-66,0,0,0,2780412502,45.34994276487835
Tue Jan 11 13:48:22 UTC 2022,-92,-7,-62,0,0,0,2797730880,47.08213187919928
Tue Jan 11 13:48:25 UTC 2022,-92,-8,-61,0,0,0,2814566902,44.01039560729661
Tue Jan 11 13:48:28 UTC 2022,-92,-8,-65,0,0,0,2829714678,40.91666168267835
Tue Jan 11 13:48:31 UTC 2022,-92,-7,-66,0,0,0,2845827166,42.81147584604288
Tue Jan 11 13:48:34 UTC 2022,-92,-7,-66,0,0,0,2862185326,44.72266197685431
Tue Jan 11 13:48:37 UTC 2022,-91,-7,-61,0,0,0,2878937460,44.43811287160523
Tue Jan 11 13:48:40 UTC 2022,-91,-8,-64,0,0,0,2893539964,38.43432147199413
Tue Jan 11 13:48:43 UTC 2022,-91,-8,-61,0,0,0,2906795766,36.08457502630935
Tue Jan 11 13:48:46 UTC 2022,-91,-8,-64,0,0,0,2921447704,39.387710714796434
Tue Jan 11 13:48:49 UTC 2022,-91,-8,-64,0,0,0,2937420878,43.26121401817101
Tue Jan 11 13:48:52 UTC 2022,-91,-8,-64,0,0,0,2952504240,41.0877622794071
Tue Jan 11 13:48:55 UTC 2022,-91,-7,-65,0,0,0,2967572622,40.93871046452262
Tue Jan 11 13:48:58 UTC 2022,-91,-8,-64,0,0,0,2982669466,40.890936139519866
Tue Jan 11 13:49:01 UTC 2022,-91,-8,-61,0,0,0,2996633822,38.16966434890201
Tue Jan 11 13:49:04 UTC 2022,-91,-8,-65,0,0,0,3010240156,35.64378295035328
Tue Jan 11 13:49:07 UTC 2022,-91,-8,-60,0,0,0,3024589498,39.13459781926031
Tue Jan 11 13:49:10 UTC 2022,-92,-9,-65,0,0,0,3039156050,39.50351190432439
Tue Jan 11 13:49:13 UTC 2022,-92,-8,-65,0,0,0,3055025862,43.186405409456825
Tue Jan 11 13:49:16 UTC 2022,-92,-9,-62,0,0,0,3072923966,48.648705671656785
Tue Jan 11 13:49:19 UTC 2022,-92,-7,-66,0,0,0,3089297106,41.44284725837321
Tue Jan 11 13:49:22 UTC 2022,-92,-7,-65,0,0,0,3105059062,42.62290487991384
Tue Jan 11 13:49:25 UTC 2022,-92,-7,-62,0,0,0,3120758102,42.28434846584476
Tue Jan 11 13:49:28 UTC 2022,-93,-8,-66,0,0,0,3136386736,42.25695712047965
Tue Jan 11 13:49:31 UTC 2022,-93,-7,-66,0,0,0,3151828120,41.47965674112903
Tue Jan 11 13:49:34 UTC 2022,-92,-7,-66,0,0,0,3168127858,44.42832238275482
Tue Jan 11 13:49:37 UTC 2022,-93,-7,-66,0,0,0,3184498002,44.0905936096318
Tue Jan 11 13:49:40 UTC 2022,-92,-7,-66,0,0,0,3202562384,48.59521021420041
Tue Jan 11 13:49:43 UTC 2022,-92,-8,-61,0,0,0,3218529566,40.097385575256396
Tue Jan 11 13:49:46 UTC 2022,-92,-7,-66,0,0,0,3234562660,43.286721925094234
Tue Jan 11 13:49:49 UTC 2022,-92,-7,-62,0,0,0,3250332106,42.831240565398225
Tue Jan 11 13:49:52 UTC 2022,-92,-8,-63,0,0,0,3264880682,38.91180924986514
Tue Jan 11 13:49:55 UTC 2022,-93,-7,-65,0,0,0,3280164776,41.51809848101223
Tue Jan 11 13:49:58 UTC 2022,-93,-7,-65,0,0,0,3297507122,46.99895150890587
Tue Jan 11 13:50:01 UTC 2022,-92,-7,-66,0,0,0,3314145408,45.196255699638876
Tue Jan 11 13:50:04 UTC 2022,-93,-7,-65,0,0,0,3330103602,42.794368974728116
Tue Jan 11 13:50:06 UTC 2022,-92,-7,-65,0,0,0,3346446782,44.46246616485384
Tue Jan 11 13:50:09 UTC 2022,-93,-7,-66,0,0,0,3363212398,45.18631064187883
Tue Jan 11 13:50:13 UTC 2022,-93,-7,-66,0,0,0,3379312902,43.75042646413536
Tue Jan 11 13:50:15 UTC 2022,-93,-7,-66,0,0,0,3394853154,40.75652825685117
Tue Jan 11 13:50:18 UTC 2022,-93,-8,-65,0,0,0,3410021902,41.241734640832526
Tue Jan 11 13:50:21 UTC 2022,-93,-7,-66,0,0,0,3425750902,42.50951645349248
