Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Thu Aug 11 13:53:00 UTC 2022,-76,-8,-49,-85,-10,-75,2721048391,83.0364080832541,10
Thu Aug 11 13:53:03 UTC 2022,-72,-8,-42,-74,-10,-64,2752517486,84.9409005575439,10
Thu Aug 11 13:53:06 UTC 2022,-77,-8,-48,-80,-10,-69,2782599554,81.2375550800213,10
Thu Aug 11 13:53:09 UTC 2022,-77,-8,-51,-66,-10,-56,2812182150,78.4721658030591,10
Thu Aug 11 13:53:12 UTC 2022,-78,-8,-48,-60,-10,-50,2843494844,84.9268142034168,10
Thu Aug 11 13:53:15 UTC 2022,-76,-9,-45,-59,-10,-49,2876079340,86.3138821118379,10
Thu Aug 11 13:53:18 UTC 2022,-75,-8,-46,-69,-10,-59,2910397022,89.0129860357918,10
Thu Aug 11 13:53:21 UTC 2022,-75,-8,-44,-58,-10,-47,2940046936,78.7387882802146,10
Thu Aug 11 13:53:24 UTC 2022,-75,-9,-43,-75,-11,-64,2972737790,88.5690916865019,10
Thu Aug 11 13:53:27 UTC 2022,-82,-12,-53,-64,-10,-53,3002777184,82.2124952236673,10
Thu Aug 11 13:53:30 UTC 2022,-84,-11,-54,-66,-10,-56,3031658624,78.3170522246625,10
Thu Aug 11 13:53:33 UTC 2022,-81,-10,-49,-67,-10,-57,3062592324,84.2499688530444,10
Thu Aug 11 13:53:36 UTC 2022,-80,-10,-49,-84,-11,-72,3089030526,71.8103660937976,10
Thu Aug 11 13:53:39 UTC 2022,-74,-9,-44,-80,-12,-68,3114033684,67.5169769682906,10
Thu Aug 11 13:53:42 UTC 2022,-73,-9,-43,-91,-20,-70,3138090066,62.4967441266589,10
Thu Aug 11 13:53:45 UTC 2022,-73,-9,-44,-87,-14,-73,3162148899,61.7731838265436,10
Thu Aug 11 13:53:48 UTC 2022,-72,-9,-42,-89,-17,-71,3186448959,63.9914105516042,10
Thu Aug 11 13:53:51 UTC 2022,-71,-8,-41,-72,-10,-62,3211167537,63.683630583862,10
Thu Aug 11 13:53:54 UTC 2022,-75,-9,-47,-76,-12,-64,3228259717,46.0909541259296,10
Thu Aug 11 13:53:57 UTC 2022,-80,-9,-51,-85,-12,-72,3243732559,41.9923035548895,10
Thu Aug 11 13:54:00 UTC 2022,-80,-9,-49,-86,-11,-74,3256538961,34.6819523335987,10
Thu Aug 11 13:54:03 UTC 2022,-79,-9,-48,-79,-12,-67,3273674583,45.9380752084274,10
Thu Aug 11 13:54:06 UTC 2022,-77,-9,-46,-81,-11,-69,3291655077,48.6268140156886,10
Thu Aug 11 13:54:09 UTC 2022,-78,-9,-49,-84,-11,-72,3308222957,44.5882372583318,10
Thu Aug 11 13:54:12 UTC 2022,-78,-9,-47,-90,-20,-67,3324723427,44.8562313747739,10
Thu Aug 11 13:54:15 UTC 2022,-79,-9,-48,-91,-18,-73,3339137183,38.9149483942202,10
Thu Aug 11 13:54:18 UTC 2022,-81,-9,-55,-89,-16,-72,3355390483,44.4223913603696,10
Thu Aug 11 13:54:21 UTC 2022,-83,-9,-53,-84,-10,-73,3375898103,54.4132682298676,10
Thu Aug 11 13:54:24 UTC 2022,-80,-9,-52,-101,-16,-84,3397363766,57.27507452497,10
Thu Aug 11 13:54:27 UTC 2022,-82,-8,-54,-89,-10,-78,3424927018,73.9157160804563,10
Thu Aug 11 13:54:30 UTC 2022,-88,-9,-57,-92,-11,-81,3448135532,63.1257015238764,10
Thu Aug 11 13:54:33 UTC 2022,-88,-9,-57,-94,-11,-82,3471490354,63.3472653455384,10
